Date,mkt_par_lb,mkt_n_trades,mkt_px_std_daily,dIG_spread,dIG_spread_lag1,VIXCLS_level,cpi_mom,cpi_mom_lag1,core_cpi_mom,core_cpi_mom_lag1,pce_mom,pce_mom_lag1,indpro_mom,indpro_mom_lag1,ccsa_growth,ccsa_growth_lag1,UNRATE_lag1,dT5YIFR,dT5YIFR_lag1,dT5YIE,dT5YIE_lag1,dT10YIE,dT10YIE_lag1,ln_mkt_par_lb,ln_mkt_par_lb_lag1,ln_mkt_n_trades,ln_mkt_n_trades_lag1,mkt_px_std_daily_lag1,dmkt_px_std_daily,dmkt_px_std_daily_lag1
2005-07-31,97630033322.0,381852.0,0.6319048477,-2.159090900000038,-6.162337700000009,11.049,0.006176036100564275,0.0005163955704734491,0.0014943962930535903,0.0004986287812114298,0.004226063720055073,0.0006244299219106964,-0.003181642785388128,0.004365742512094428,-0.0018478600884801466,0.005302494949820158,5.0,0.02659090899999983,-0.14123376600000004,-0.07186363600000023,-0.1933982689999998,-0.022636363999999798,-0.1673160170000001,25.304451001492957,25.509866064104806,12.85278837796158,13.06224812583684,0.6574358038,-0.025530956100000002,-0.08068038700000002
2005-08-31,93993247812.0,414439.0,0.6371517895,-0.20256920000001344,-2.159090900000038,12.95130435,0.006138126688785661,0.006176036100564275,0.0009950249577173054,0.0014943962930535903,0.004026206152849099,0.004226063720055073,0.0032856021445777372,-0.003181642785388128,-0.00558353057539307,-0.0018478600884801466,5.0,0.042282608999999916,0.02659090899999983,0.10267391300000028,-0.07186363600000023,0.07247826099999966,-0.022636363999999798,25.266488784849155,25.304451001492957,12.93468107746827,12.85278837796158,0.6319048477,0.00524694179999996,-0.025530956100000002
2005-09-30,104333379532.0,400288.0,0.6459711122,-0.2703744999999742,-0.20256920000001344,12.62809524,0.013674561020173392,0.006138126688785661,0.0009940358671398641,0.0009950249577173054,0.009604480984986452,0.004026206152849099,-0.019560495358284413,0.0032856021445777372,0.05126423264587743,-0.00558353057539307,4.9,0.05426500999999995,0.042282608999999916,0.19877846799999999,0.10267391300000028,0.1265217390000002,0.07247826099999966,25.37085718161708,25.266488784849155,12.899939567014467,12.93468107746827,0.6371517895,0.008819322700000076,0.00524694179999996
2005-10-31,103804786463.0,423658.0,0.7015737623,4.678138500000003,-0.2703744999999742,14.93761905,0.0015079168476770377,0.013674561020173392,0.00347136475545895,0.0009940358671398641,0.0015978186571841135,0.009604480984986452,0.012150318345580224,-0.019560495358284413,0.031488679237380524,0.05126423264587743,5.0,0.019952380999999964,0.05426500999999995,0.022047618999999852,0.19877846799999999,0.020999999999999908,0.1265217390000002,25.365777918975365,25.37085718161708,12.956681804960652,12.899939567014467,0.6459711122,0.055602650099999984,0.008819322700000076
2005-11-30,99341211364.0,432543.0,0.7190550799,7.953896099999994,4.678138500000003,12.14761905,-0.005035257365645585,0.0015079168476770377,0.0024721891453891587,0.00347136475545895,-0.0020908945587692074,0.0015978186571841135,0.010936328822064745,0.012150318345580224,-0.03711833740786297,0.031488679237380524,5.0,0.05500000000000016,0.019952380999999964,-0.15399999999999991,0.022047618999999852,-0.0495000000000001,0.020999999999999908,25.32182634067247,25.365777918975365,12.977437022377353,12.956681804960652,0.7015737623,0.017481317599999935,0.055602650099999984
2005-12-31,83658628216.0,439746.0,0.7946427121,5.194805200000019,7.953896099999994,11.26,0.0,-0.005035257365645585,0.0014803851704341398,0.0024721891453891587,0.0,-0.0020908945587692074,0.0048159975298771585,0.010936328822064745,-0.02316301023836509,-0.03711833740786297,5.0,-0.08352380999999998,0.05500000000000016,-0.171857143,-0.15399999999999991,-0.12769047599999972,-0.0495000000000001,25.150010405694783,25.32182634067247,12.993952566481118,12.977437022377353,0.7190550799,0.07558763220000009,0.017481317599999935
2006-01-31,117717121661.0,448178.0,0.6570063131,-6.065368000000063,5.194805200000019,12.036,0.006039273514243604,0.0,0.001970443987298509,0.0014803851704341398,0.004836057785718495,0.0,0.0015777724050218822,0.0048159975298771585,-0.03171692229154388,-0.02316301023836509,4.9,0.026523810000000037,-0.08352380999999998,0.10585714299999971,-0.171857143,0.06619047600000005,-0.12769047599999972,25.49155030929071,25.150010405694783,13.012945753914437,12.993952566481118,0.7946427121,-0.13763639900000002,0.07558763220000009
2006-02-28,101086046291.0,402001.0,0.6248061865,1.6576442000000782,-6.065368000000063,12.47105263,0.0005016303089888652,0.006039273514243604,0.0019665689720405055,0.001970443987298509,0.0005983796059298996,0.004836057785718495,0.0004248692215602645,0.0015777724050218822,-0.019648161322868063,-0.03171692229154388,4.7,0.0408947369999999,0.026523810000000037,0.1791052630000003,0.10585714299999971,0.10999999999999988,0.06619047600000005,25.33923793456506,25.49155030929071,12.904209855160254,13.012945753914437,0.6570063131,-0.032200126600000045,-0.13763639900000002
2006-03-31,115793624796.0,476038.0,0.6001182713,-2.3226544999999987,1.6576442000000782,11.69391304,0.001503382894031624,0.0005016303089888652,0.0034322171472087604,0.0019665689720405055,0.0019362941566329894,0.0005983796059298996,0.0022649582332325835,0.0004248692215602645,-0.020856128489018744,-0.019648161322868063,4.8,-0.019199084999999894,0.0408947369999999,0.03224256300000006,0.1791052630000003,0.006521739000000082,0.10999999999999988,25.47507534699467,25.33923793456506,13.07325296195993,12.904209855160254,0.6248061865,-0.02468791520000002,-0.032200126600000045
2006-04-30,95068061015.0,390782.0,0.5906964418,-4.385240300000078,-2.3226544999999987,11.84736842,0.004995015380522716,0.001503382894031624,0.0024443913417764307,0.0034322171472087604,0.004634243257865656,0.0019362941566329894,0.0029562535896410225,0.0022649582332325835,-0.02244508925804567,-0.020856128489018744,4.7,0.09235697999999992,-0.019199084999999894,0.017757436999999765,0.03224256300000006,0.055057208000000024,0.006521739000000082,25.277858903769086,25.47507534699467,12.875905138724596,13.07325296195993,0.6001182713,-0.009421829499999923,-0.02468791520000002
